A,B,C,D
0.1831202507019043,2.384185791015625e-06,0.0004448890686035156,0.2460211110115051
0.21117901802062988,2.86102294921875e-06,0.0005192756652832031,0.2460211110115051
0.1979420185089112,2.384185791015625e-06,0.0004906654357910156,0.2460211110115051
0.3011114597320557,2.384185791015625e-06,0.0004723072052001953,0.2460211110115051
0.26180052757263184,1.9073486328125e-06,0.0005033016204833983,0.2460211110115051
0.25331759452819824,1.9073486328125e-06,0.00048160552978515625,0.2460211110115051
0.2325799465179444,2.1457672119140625e-06,0.0005462169647216797,0.2460211110115051
0.3988053798675537,2.384185791015625e-06,0.0005757808685302732,0.2460211110115051
0.27594709396362305,3.5762786865234375e-06,0.0006744861602783202,0.2460211110115051
0.2432425022125244,2.86102294921875e-06,0.0004346370697021485,0.2460211110115051
0.30938196182250977,1.3113021850585938e-05,0.0006017684936523438,0.2460211110115051
0.23379802703857425,2.1457672119140625e-06,0.0005099773406982422,0.2460211110115051
0.2958004474639893,2.6226043701171875e-06,0.0005924701690673827,0.2460211110115051
0.2044053077697754,2.384185791015625e-06,0.0004203319549560547,0.2460211110115051
0.1848447322845459,3.576278686523437e-05,0.0004134178161621094,0.2460211110115051
0.284761905670166,2.6226043701171875e-06,0.00040793418884277344,0.2460211110115051
0.2261626720428467,2.6226043701171875e-06,0.0006892681121826173,0.2460211110115051
0.3447506427764893,1.9073486328125e-06,0.00046706199645996094,0.2460211110115051
0.3441438674926758,2.6226043701171875e-06,0.0006556510925292969,0.2460211110115051
0.5074253082275391,2.384185791015625e-06,0.0004909038543701172,0.2460211110115051
0.18418002128601074,1.9073486328125e-06,0.0004923343658447267,0.2460211110115051
0.4315197467803955,2.384185791015625e-06,0.0005288124084472656,0.2460211110115051
0.3459062576293945,3.5762786865234375e-06,0.0006124973297119143,0.2460211110115051
0.3423905372619629,3.0994415283203125e-06,0.0006232261657714844,0.2460211110115051
0.5893881320953369,3.5762786865234375e-06,0.0006489753723144531,0.2460211110115051
0.29929161071777344,1.9073486328125e-06,0.000553131103515625,0.2460211110115051
0.3828907012939453,1.9073486328125e-06,0.0006124973297119143,0.2460211110115051
0.4666259288787842,3.337860107421875e-06,0.0008521080017089844,0.2460211110115051
0.3653204441070557,2.86102294921875e-06,0.0004937648773193358,0.2460211110115051
0.2102675437927246,2.384185791015625e-06,0.0004429817199707031,0.2460211110115051
0.3308882713317871,2.6226043701171875e-06,0.0005071163177490233,0.2460211110115051
0.2832334041595459,2.86102294921875e-06,0.0005173683166503906,0.2460211110115051
0.6357030868530273,3.0994415283203125e-06,0.0008134841918945312,0.2460211110115051
0.302302360534668,6.9141387939453125e-06,0.0005121231079101561,0.2460211110115051
0.2251269817352295,1.9073486328125e-06,0.0004148483276367188,0.2460211110115051
0.21181178092956546,2.1457672119140625e-06,0.0004792213439941406,0.2460211110115051
0.2363743782043457,1.9073486328125e-06,0.0004608631134033203,0.2460211110115051
0.31241512298583984,6.4373016357421875e-06,0.0005693435668945312,0.2460211110115051
0.5193328857421875,9.298324584960938e-06,0.0005609989166259767,0.2460211110115051
